npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  9/19/2026 5:28:44 PM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  9/19/2026 5:28:44 PM ::1 Returned 206 in 92 ms
 HTTP  9/19/2026 5:28:44 PM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  9/19/2026 5:28:44 PM ::1 Returned 206 in 7 ms
 HTTP  9/19/2026 5:28:45 PM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  9/19/2026 5:28:45 PM ::1 Returned 206 in 0 ms
 HTTP  9/19/2026 5:28:45 PM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  9/19/2026 5:28:45 PM ::1 Returned 206 in 1 ms
 HTTP  9/19/2026 5:28:45 PM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  9/19/2026 5:28:45 PM ::1 Returned 206 in 1 ms
 HTTP  9/19/2026 5:29:13 PM ::1 GET /
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 1 ms
 HTTP  9/19/2026 5:29:13 PM ::1 GET /logo.png
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 1 ms
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/css/1a0b606df78c53e5.css
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/css/8d866b19e5ff1a96.css
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 2 ms
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 2 ms
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/chunks/webpack-f12a3d0ec3b37cb0.js
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/chunks/main-app-3f94d1654d7621f8.js
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/chunks/4bd1b696-215e5051988c3dde.js
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/chunks/794-337e750527b970b0.js
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/chunks/805-5ff3116500fef5f8.js
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/chunks/app/layout-fd367369810a780d.js
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 4 ms
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 4 ms
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 4 ms
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 4 ms
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 3 ms
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 3 ms
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/chunks/f9bd3b46-0b5bc73122bae5a2.js
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/chunks/144d3bae-12fd3a1d60cd9549.js
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/chunks/65e4ab1a-69028f17bc0790d2.js
 HTTP  9/19/2026 5:29:13 PM ::1 GET /_next/static/chunks/437-347fd955591f3ef7.js
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 3 ms
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 3 ms
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 3 ms
 HTTP  9/19/2026 5:29:13 PM ::1 Returned 200 in 3 ms
 HTTP  9/19/2026 5:29:14 PM ::1 GET /_next/static/chunks/785-8be7d5f1392e9bf8.js
 HTTP  9/19/2026 5:29:14 PM ::1 GET /_next/static/chunks/702-09143f5f277c99ce.js
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 4 ms
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 4 ms
 HTTP  9/19/2026 5:29:14 PM ::1 GET /_next/static/chunks/app/page-34caaef7d626b711.js
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 1 ms
 HTTP  9/19/2026 5:29:14 PM ::1 GET /_next/static/chunks/711.eabd49b975174e2e.js
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 1 ms
 HTTP  9/19/2026 5:29:14 PM ::1 GET /_vercel/insights/script.js
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 1 ms
 HTTP  9/19/2026 5:29:14 PM ::1 GET /IMG_20260916_002115.png
 HTTP  9/19/2026 5:29:14 PM ::1 GET /IMG-20260830-WA0081.jpg
 HTTP  9/19/2026 5:29:14 PM ::1 GET /IMG_20260912_144404.png
 HTTP  9/19/2026 5:29:14 PM ::1 GET /file_00000000048882118276c7215012963f.png
 HTTP  9/19/2026 5:29:14 PM ::1 GET /IMG_20260912_144324.png
 HTTP  9/19/2026 5:29:14 PM ::1 GET /IMG_20260912_144347.png
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 6 ms
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 10 ms
 HTTP  9/19/2026 5:29:14 PM ::1 GET /api/rooms
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 11 ms
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 11 ms
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 2 ms
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 21 ms
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 21 ms
 HTTP  9/19/2026 5:29:14 PM ::1 GET /api/rooms?roomId=test_user_123
 HTTP  9/19/2026 5:29:14 PM ::1 Returned 200 in 1 ms
 HTTP  9/19/2026 5:29:16 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:16 PM ::1 Returned 200 in 1 ms
 HTTP  9/19/2026 5:29:16 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:16 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:16 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:16 PM ::1 Returned 304 in 5 ms
 HTTP  9/19/2026 5:29:16 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:16 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:16 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:16 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:16 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:16 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:16 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:16 PM ::1 Returned 304 in 3 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 2 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 2 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 3 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 8 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 0 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 2 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
 HTTP  9/19/2026 5:29:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/19/2026 5:29:17 PM ::1 GET /default-avatar.png
